protein_ac,drug_id
O00519,DB00252
O00519,DB00315
O00519,DB00356
O00519,DB00371
O00519,DB00395
O00519,DB00409
O00519,DB00450
O00519,DB00455
O00519,DB00490
O00519,DB00575
O00519,DB00601
O00519,DB00656
O00519,DB00660
O00519,DB00697
O00519,DB00705
O00519,DB00745
O00519,DB00818
O00519,DB00822
O00519,DB00827
O00519,DB00909
O00519,DB01039
O00519,DB01041
O00519,DB01067
O00519,DB01083
O00519,DB01097
O00519,DB01101
O00519,DB01198
O00519,DB01219
O00519,DB01435
O00519,DB02967
O00519,DB04557
O00519,DB04892
O00519,DB04910
O00519,DB05266
O00519,DB06144
O00519,DB06264
O00519,DB06479
O00519,DB06623
O00519,DB08979
O00519,DB09245
O00519,DB09295
O00519,DB11155
O00519,DB11409
O00519,DB11410
O00519,DB11446
O00519,DB11513
O00519,DB11948
O00519,DB12919
O00519,DB12931
O00519,DB13082
O00519,DB13245
O00519,DB13354
O00519,DB13520
O00519,DB14174
O00519,DB14178
O00519,DB14949
O00519,DB15581
O00562,DB00619
O00748,DB00313
O00748,DB01045
O00748,DB01878
O00748,DB07418
O00748,DB11958
O00750,DB00317
O00750,DB00530
O00750,DB00619
O00750,DB01254
O00750,DB01259
O00750,DB02010
O00750,DB02567
O00750,DB03044
O00750,DB03496
O00750,DB04849
O00750,DB04868
O00750,DB04879
O00750,DB05294
O00750,DB05424
O00750,DB05552
O00750,DB05575
O00750,DB05928
O00750,DB05969
O00750,DB05984
O00750,DB06314
O00750,DB06486
O00750,DB06589
O00750,DB06616
O00750,DB06626
O00750,DB06999
O00750,DB07138
O00750,DB07159
O00750,DB08094
O00750,DB08142
O00750,DB08568
O00750,DB08865
O00750,DB08877
O00750,DB08895
O00750,DB08916
O00750,DB09079
O00750,DB11526
O00750,DB11651
O00750,DB11666
O00750,DB11689
O00750,DB11828
O00750,DB11829
O00750,DB11896
O00750,DB11958
O00750,DB12307
O00750,DB12429
O00750,DB12500
O00750,DB12745
O00750,DB13051
O00750,DB13061
O00750,DB14846
O00750,DB15186
O00754,DB00491
O00754,DB03206
O00754,DB03955
O00754,DB05018
O00764,DB00147
O00764,DB00165
O00764,DB00323
O00764,DB00494
O00764,DB11673
O14578,DB02567
O14578,DB04849
O14578,DB04868
O14578,DB05524
O14578,DB05552
O14578,DB06195
O14578,DB06314
O14578,DB06486
O14578,DB06616
O14578,DB06626
O14578,DB06999
O14578,DB07159
O14578,DB07919
O14578,DB08094
O14578,DB08142
O14578,DB08568
O14578,DB08865
O14578,DB08877
O14578,DB08916
O14578,DB09079
O14578,DB11526
O14578,DB11663
O14578,DB11689
O14578,DB11828
O14578,DB11958
O14578,DB12302
O14578,DB12307
O14578,DB12429
O14578,DB12500
O14578,DB12745
O14638,DB00171
O14638,DB03435
O14649,DB00379
O14649,DB01182
O14672,DB00786
O14684,DB00126
O14684,DB00549
O14684,DB00605
