	protein_ac	gene_name	protein_name
0	Q9NUX5	POT1	POTE1_HUMAN
1	Q9NVM4	PRMT7	ANM7_HUMAN
2	P62633	CNBP	CNBP_HUMAN
3	Q99729	HNRNPAB	ROAA_HUMAN
4	O43715	TRIAP1	TRIA1_HUMAN
5	O95817	BAG3	BAG3_HUMAN
6	Q13285	NR5A1	STF1_HUMAN
7	Q9UKM9	RALY	RALY_HUMAN
8	P60174	TPI1	TPIS_HUMAN
9	Q9H0W5	CCDC8	CCDC8_HUMAN
10	P82650	MRPS22	RT22_HUMAN
11	Q99728	BARD1	BARD1_HUMAN
12	P11388	TOP2A	TOP2A_HUMAN
13	P35579	MYH9	MYH9_HUMAN
14	Q6ZMU5	TRIM72	TRI72_HUMAN
15	O15265	ATXN7	ATX7_HUMAN
16	Q16514	TAF12	TAF12_HUMAN
17	P24539	ATP5PB	AT5F1_HUMAN
18	Q99816	TSG101	TS101_HUMAN
19	P38398	BRCA1	BRCA1_HUMAN
20	Q969X6	UTP4	UTP4_HUMAN
21	P21281	ATP6V1B2	VATB2_HUMAN
22	Q9Y487	ATP6V0A2	VPP2_HUMAN
23	P0CG48	UBC	UBC_HUMAN
24	Q9UPW5	AGTPBP1	CBPC1_HUMAN
25	P13639	EEF2	EF2_HUMAN
26	P31943	HNRNPH1	HNRH1_HUMAN
27	O75794	CDC123	CD123_HUMAN
28	Q8IZP0	ABI1	ABI1_HUMAN
29	Q13428	TCOF1	TCOF_HUMAN
30	Q9H0E7	USP44	UBP44_HUMAN
31	P30411	BDKRB2	BKRB2_HUMAN
32	P43250	GRK6	GRK6_HUMAN
33	O43293	DAPK3	DAPK3_HUMAN
34	Q96H55	MYO19	MYO19_HUMAN
35	P06239	LCK	LCK_HUMAN
36	P62993	GRB2	GRB2_HUMAN
37	O75665	OFD1	OFD1_HUMAN
38	P50570	DNM2	DYN2_HUMAN
39	O60260	PRKN	PRKN_HUMAN
40	P51965	UBE2E1	UB2E1_HUMAN
41	O60318	MCM3AP	GANP_HUMAN
42	O94985	CLSTN1	CSTN1_HUMAN
43	P00167	CYB5A	CYB5_HUMAN
44	P08684	CYP3A4	CP3A4_HUMAN
45	P17931	LGALS3	LEG3_HUMAN
46	Q8NEM0	MCPH1	MCPH1_HUMAN
47	P62807	H2BC4	H2B1C_HUMAN
48	Q53EL6	PDCD4	PDCD4_HUMAN
49	P09651	HNRNPA1	ROA1_HUMAN
50	Q14999	CUL7	CUL7_HUMAN
51	P12004	PCNA	PCNA_HUMAN
52	P40926	MDH2	MDHM_HUMAN
53	Q15942	ZYX	ZYX_HUMAN
54	Q9UKY1	ZHX1	ZHX1_HUMAN
55	Q6P1J9	CDC73	CDC73_HUMAN
56	Q9H9S0	NANOG	NANOG_HUMAN
57	Q6P2C8	MED27	MED27_HUMAN
58	Q9BTT4	MED10	MED10_HUMAN
59	O75534	CSDE1	CSDE1_HUMAN
60	P01241	GH1	SOMA_HUMAN
61	P13385	TDGF1	TDGF1_HUMAN
62	P35052	GPC1	GPC1_HUMAN
63	Q13242	SRSF9	SRSF9_HUMAN
64	Q86VP6	CAND1	CAND1_HUMAN
65	O15350	TP73	P73_HUMAN
66	P01106	MYC	MYC_HUMAN
67	P08069	IGF1R	IGF1R_HUMAN
68	P32121	ARRB2	ARRB2_HUMAN
69	P42684	ABL2	ABL2_HUMAN
70	P46934	NEDD4	NEDD4_HUMAN
71	A6NI79	CCDC69	CCD69_HUMAN
72	Q9UBL3	ASH2L	ASH2L_HUMAN
73	P03372	ESR1	ESR1_HUMAN
74	Q96RI1	NR1H4	NR1H4_HUMAN
75	Q14807	KIF22	KIF22_HUMAN
76	Q9NR09	BIRC6	BIRC6_HUMAN
77	P49736	MCM2	MCM2_HUMAN
78	Q02413	DSG1	DSG1_HUMAN
79	P06400	RB1	RB_HUMAN
80	P52757	CHN2	CHIO_HUMAN
81	Q9BWM7	SFXN3	SFXN3_HUMAN
82	Q9NS69	TOMM22	TOM22_HUMAN
83	O95793	STAU1	STAU1_HUMAN
84	Q9P2K1	CC2D2A	C2D2A_HUMAN
85	Q6P582	MZT2A	MZT2A_HUMAN
86	Q9UFC0	LRWD1	LRWD1_HUMAN
87	Q5VST9	OBSCN	OBSCN_HUMAN
88	Q96JN0	LCOR	LCOR_HUMAN
89	P05067	APP	A4_HUMAN
90	Q6ZW49	PAXIP1	PAXI1_HUMAN
91	Q58DX5	NAALADL2	NADL2_HUMAN
92	Q9HCU4	CELSR2	CELR2_HUMAN
93	P23508	MCC	CRCM_HUMAN
94	Q9NR31	SAR1A	SAR1A_HUMAN
95	P04629	NTRK1	NTRK1_HUMAN
96	P13667	PDIA4	PDIA4_HUMAN
97	P38432	COIL	COIL_HUMAN
98	Q96CN9	GCC1	GCC1_HUMAN
99	P26196	DDX6	DDX6_HUMAN
100	Q13618	CUL3	CUL3_HUMAN
101	Q12899	TRIM26	TRI26_HUMAN
102	Q9BT49	THAP7	THAP7_HUMAN
103	O14530	TXNDC9	TXND9_HUMAN
104	Q16891	IMMT	MIC60_HUMAN
105	Q5SY16	NOL9	NOL9_HUMAN
106	Q9BQS8	FYCO1	FYCO1_HUMAN
107	O95382	MAP3K6	M3K6_HUMAN
108	Q04917	YWHAH	1433F_HUMAN
109	P27348	YWHAQ	1433T_HUMAN
110	Q9NSI8	SAMSN1	SAMN1_HUMAN
111	Q13283	G3BP1	G3BP1_HUMAN
112	Q9NZT1	CALML5	CALL5_HUMAN
113	O75147	OBSL1	OBSL1_HUMAN
114	P55265	ADAR	DSRAD_HUMAN
115	Q8IXI1	RHOT2	MIRO2_HUMAN
116	Q8IXI2	RHOT1	MIRO1_HUMAN
117	P04217	A1BG	A1BG_HUMAN
118	Q14997	PSME4	PSME4_HUMAN
119	P56180	TPTE	TPTE_HUMAN
120	Q9H867	VCPKMT	MT21D_HUMAN
121	P55316	FOXG1	FOXG1_HUMAN
122	Q9H2P0	ADNP	ADNP_HUMAN
123	O75943	RAD17	RAD17_HUMAN
124	Q92878	RAD50	RAD50_HUMAN
125	O60341	KDM1A	KDM1A_HUMAN
126	Q15049	MLC1	MLC1_HUMAN
127	O75146	HIP1R	HIP1R_HUMAN
128	Q05655	PRKCD	KPCD_HUMAN
129	Q14289	PTK2B	FAK2_HUMAN
130	O00299	CLIC1	CLIC1_HUMAN
131	P28066	PSMA5	PSA5_HUMAN
132	Q06265	EXOSC9	EXOS9_HUMAN
133	Q96K37	SLC35E1	S35E1_HUMAN
134	Q13601	KRR1	KRR1_HUMAN
135	Q13895	BYSL	BYST_HUMAN
136	P54760	EPHB4	EPHB4_HUMAN
137	Q96JM4	LRRIQ1	LRIQ1_HUMAN
138	P15259	PGAM2	PGAM2_HUMAN
139	Q9Y4E8	USP15	UBP15_HUMAN
140	Q7Z3U7	MON2	MON2_HUMAN
141	Q9BRP4	PAAF1	PAAF1_HUMAN
142	P23458	JAK1	JAK1_HUMAN
143	P33992	MCM5	MCM5_HUMAN
144	Q71DI3	HIST2H3A	H32_HUMAN
145	Q8NA61	SPERT	SPERT_HUMAN
146	Q96NC0	ZMAT2	ZMAT2_HUMAN
147	P35232	PHB	PHB_HUMAN
148	Q00610	CLTC	CLH1_HUMAN
149	Q13813	SPTAN1	SPTN1_HUMAN
150	Q9GZQ8	MAP1LC3B	MLP3B_HUMAN
151	O14735	CDIPT	CDIPT_HUMAN
152	Q99952	PTPN18	PTN18_HUMAN
153	Q5TAP6	UTP14C	UT14C_HUMAN
154	Q8IYF3	TEX11	TEX11_HUMAN
155	P50914	RPL14	RL14_HUMAN
156	Q9BV73	CEP250	CP250_HUMAN
157	Q9H6T3	RPAP3	RPAP3_HUMAN
158	Q9NWS0	PIH1D1	PIHD1_HUMAN
159	O60645	EXOC3	EXOC3_HUMAN
160	Q9Y4I1	MYO5A	MYO5A_HUMAN
161	O60603	TLR2	TLR2_HUMAN
162	P58753	TIRAP	TIRAP_HUMAN
163	P46777	RPL5	RL5_HUMAN
164	P62244	RPS15A	RS15A_HUMAN
165	P10276	RARA	RARA_HUMAN
166	Q96L73	NSD1	NSD1_HUMAN
167	O60499	STX10	STX10_HUMAN
168	P14625	HSP90B1	ENPL_HUMAN
169	Q9UKV5	AMFR	AMFR_HUMAN
170	Q9H2J7	SLC6A15	S6A15_HUMAN
171	Q9NRZ7	AGPAT3	PLCC_HUMAN
172	O95070	YIF1A	YIF1A_HUMAN
173	Q92542	NCSTN	NICA_HUMAN
174	P32927	CSF2RB	IL3RB_HUMAN
175	P42336	PIK3CA	PK3CA_HUMAN
176	O15164	TRIM24	TIF1A_HUMAN
177	P10275	AR	ANDR_HUMAN
178	Q13950	RUNX2	RUNX2_HUMAN
179	Q96AC1	FERMT2	FERM2_HUMAN
180	Q96LK0	CEP19	CEP19_HUMAN
181	Q8WUM4	PDCD6IP	PDC6I_HUMAN
182	Q9GZZ9	UBA5	UBA5_HUMAN
183	Q99496	RNF2	RING2_HUMAN
184	Q15717	ELAVL1	ELAV1_HUMAN
185	Q9BWN1	PRR14	PRR14_HUMAN
186	P23246	SFPQ	SFPQ_HUMAN
187	Q13077	TRAF1	TRAF1_HUMAN
188	Q15084	PDIA6	PDIA6_HUMAN
189	Q16827	PTPRO	PTPRO_HUMAN
190	P00491	PNP	PNPH_HUMAN
191	Q4G0N4	NADK2	NAKD2_HUMAN
192	O95619	YEATS4	YETS4_HUMAN
193	P57768	SNX16	SNX16_HUMAN
194	O43513	MED7	MED7_HUMAN
195	P36956	SREBF1	SRBP1_HUMAN
196	Q99814	EPAS1	EPAS1_HUMAN
197	Q9Y2M5	KLHL20	KLH20_HUMAN
198	Q12967	RALGDS	GNDS_HUMAN
199	Q15118	PDK1	PDK1_HUMAN
200	P17302	GJA1	CXA1_HUMAN
201	Q02156	PRKCE	KPCE_HUMAN
202	P27694	RPA1	RFA1_HUMAN
203	Q13573	SNW1	SNW1_HUMAN
204	P62917	RPL8	RL8_HUMAN
205	Q00839	HNRNPU	HNRPU_HUMAN
206	P62306	SNRPF	RUXF_HUMAN
207	P83876	TXNL4A	TXN4A_HUMAN
208	O60506	SYNCRIP	HNRPQ_HUMAN
209	P11142	HSPA8	HSP7C_HUMAN
210	Q8NA69	TEX45	TEX45_HUMAN
211	P50395	GDI2	GDIB_HUMAN
212	Q9NRC8	SIRT7	SIR7_HUMAN
213	P62258	YWHAE	1433E_HUMAN
214	Q0VAQ4	SMAGP	SMAGP_HUMAN
215	P60981	DSTN	DEST_HUMAN
216	Q92614	MYO18A	MY18A_HUMAN
217	P98175	RBM10	RBM10_HUMAN
218	Q8IYD1	GSPT2	ERF3B_HUMAN
219	Q9NZI8	IGF2BP1	IF2B1_HUMAN
220	Q6TFL4	KLHL24	KLH24_HUMAN
221	Q8IW50	FAM219A	F219A_HUMAN
222	P08238	HSP90AB1	HS90B_HUMAN
223	Q08752	PPID	PPID_HUMAN
224	O14654	IRS4	IRS4_HUMAN
225	P07900	HSP90AA1	HS90A_HUMAN
226	Q15149	PLEC	PLEC_HUMAN
227	Q15276	RABEP1	RABE1_HUMAN
228	Q14258	TRIM25	TRI25_HUMAN
229	Q9H1K0	RBSN	RBNS5_HUMAN
230	Q92993	KAT5	KAT5_HUMAN
231	Q13164	MAPK7	MK07_HUMAN
232	Q9Y4H4	GPSM3	GPSM3_HUMAN
233	O00746	NME4	NDKM_HUMAN
234	Q9NRE1	MMP26	MMP26_HUMAN
235	P17480	UBTF	UBF1_HUMAN
236	Q9H5J8	TAF1D	TAF1D_HUMAN
237	P29323	EPHB2	EPHB2_HUMAN
238	P52803	EFNA5	EFNA5_HUMAN
239	P06241	FYN	FYN_HUMAN
240	Q92616	GCN1	GCN1_HUMAN
241	O95968	SCGB1D1	SG1D1_HUMAN
242	Q96L08	SUSD3	SUSD3_HUMAN
243	P14859	POU2F1	PO2F1_HUMAN
244	Q00978	IRF9	IRF9_HUMAN
245	Q7RTS6	OTOP2	OTOP2_HUMAN
246	Q9UKV8	AGO2	AGO2_HUMAN
247	P19838	NFKB1	NFKB1_HUMAN
248	P60510	PPP4C	PP4C_HUMAN
249	Q63HR2	TNS2	TNS2_HUMAN
250	Q8TBP0	TBC1D16	TBC16_HUMAN
251	O60285	NUAK1	NUAK1_HUMAN
252	P63208	SKP1	SKP1_HUMAN
253	P60520	GABARAPL2	GBRL2_HUMAN
254	P62308	SNRPG	RUXG_HUMAN
255	P61981	YWHAG	1433G_HUMAN
256	Q6WCQ1	MPRIP	MPRIP_HUMAN
257	P61962	DCAF7	DCAF7_HUMAN
258	Q13490	BIRC2	BIRC2_HUMAN
259	Q9UN86	G3BP2	G3BP2_HUMAN
260	O00470	MEIS1	MEIS1_HUMAN
261	Q04743	EMX2	EMX2_HUMAN
262	P21741	MDK	MK_HUMAN
263	Q02543	RPL18A	RL18A_HUMAN
264	P49023	PXN	PAXI_HUMAN
265	Q9Y490	TLN1	TLN1_HUMAN
266	P37840	SNCA	SYUA_HUMAN
267	O95789	ZMYM6	ZMYM6_HUMAN
268	Q13643	FHL3	FHL3_HUMAN
269	O43521	BCL2L11	B2L11_HUMAN
270	Q8IUC4	RHPN2	RHPN2_HUMAN
271	O75970	MPDZ	MPDZ_HUMAN
272	P28335	HTR2C	5HT2C_HUMAN
273	Q5T1B0	AXDND1	AXDN1_HUMAN
274	Q9UHB9	SRP68	SRP68_HUMAN
275	Q14166	TTLL12	TTL12_HUMAN
276	Q8TEE9	SAP25	SAP25_HUMAN
277	P60709	ACTB	ACTB_HUMAN
278	P62979	RPS27A	RS27A_HUMAN
279	Q969G9	NKD1	NKD1_HUMAN
280	P50750	CDK9	CDK9_HUMAN
281	P68400	CSNK2A1	CSK21_HUMAN
282	O00231	PSMD11	PSD11_HUMAN
283	P62195	PSMC5	PRS8_HUMAN
284	Q3B820	FAM161A	F161A_HUMAN
285	P31040	SDHA	SDHA_HUMAN
286	Q14974	KPNB1	IMB1_HUMAN
287	Q96BT3	CENPT	CENPT_HUMAN
288	Q96CD2	PPCDC	COAC_HUMAN
289	P82932	MRPS6	RT06_HUMAN
290	O60921	HUS1	HUS1_HUMAN
291	O60939	SCN2B	SCN2B_HUMAN
292	Q16254	E2F4	E2F4_HUMAN
293	Q8N488	RYBP	RYBP_HUMAN
294	Q12772	SREBF2	SRBP2_HUMAN
295	Q8WU17	RNF139	RN139_HUMAN
296	P29074	PTPN4	PTN4_HUMAN
297	Q96B23	C18orf25	CR025_HUMAN
298	P04201	MAS1	MAS_HUMAN
299	Q92536	SLC7A6	YLAT2_HUMAN
300	P11413	G6PD	G6PD_HUMAN
301	Q9NZL9	MAT2B	MAT2B_HUMAN
302	P04637	TP53	P53_HUMAN
303	Q01094	E2F1	E2F1_HUMAN
304	Q05195	MXD1	MAD1_HUMAN
305	Q4LE39	ARID4B	ARI4B_HUMAN
306	Q8NHQ1	CEP70	CEP70_HUMAN
307	Q9BSJ6	PIMREG	PIMRE_HUMAN
308	Q16581	C3AR1	C3AR_HUMAN
309	Q8IXU6	SLC35F2	S35F2_HUMAN
310	Q00536	CDK16	CDK16_HUMAN
311	Q5TCZ1	SH3PXD2A	SPD2A_HUMAN
312	P84243	H3-3A	H33_HUMAN
313	Q13112	CHAF1B	CAF1B_HUMAN
314	P30041	PRDX6	PRDX6_HUMAN
315	Q9H0R8	GABARAPL1	GBRL1_HUMAN
316	P08243	ASNS	ASNS_HUMAN
317	P18206	VCL	VINC_HUMAN
318	Q9UBU9	NXF1	NXF1_HUMAN
319	Q9UGI8	TES	TES_HUMAN
320	P30048	PRDX3	PRDX3_HUMAN
321	Q14393	GAS6	GAS6_HUMAN
322	Q9UN42	ATP1B4	AT1B4_HUMAN
323	P13805	TNNT1	TNNT1_HUMAN
324	Q15834	CCDC85B	CC85B_HUMAN
325	O43252	PAPSS1	PAPS1_HUMAN
326	Q13409	DYNC1I2	DC1I2_HUMAN
327	Q01850	CDR2	CDR2_HUMAN
328	Q9H0I2	ENKD1	ENKD1_HUMAN
329	P05386	RPLP1	RLA1_HUMAN
330	Q8NHW5	RPLP0P6	RLA0L_HUMAN
331	Q14244	MAP7	MAP7_HUMAN
332	Q5TC82	RC3H1	RC3H1_HUMAN
333	Q2MV58	TCTN1	TECT1_HUMAN
334	Q969V3	NCLN	NCLN_HUMAN
335	Q7L523	RRAGA	RRAGA_HUMAN
336	Q9Y2Q5	LAMTOR2	LTOR2_HUMAN
337	P68104	EEF1A1	EF1A1_HUMAN
338	Q9NS56	TOPORS	TOPRS_HUMAN
339	Q00597	FANCC	FANCC_HUMAN
340	O00515	LAD1	LAD1_HUMAN
341	P12830	CDH1	CADH1_HUMAN
342	Q14697	GANAB	GANAB_HUMAN
343	P62879	GNB2	GBB2_HUMAN
344	Q13469	NFATC2	NFAC2_HUMAN
345	Q15262	PTPRK	PTPRK_HUMAN
346	Q9NRB3	CHST12	CHSTC_HUMAN
347	P35269	GTF2F1	T2FA_HUMAN
348	Q9BVC3	DSCC1	DCC1_HUMAN
349	P59768	GNG2	GBG2_HUMAN
350	Q8N122	RPTOR	RPTOR_HUMAN
351	Q10570	CPSF1	CPSF1_HUMAN
352	Q9NYF8	BCLAF1	BCLF1_HUMAN
353	Q9Y2U8	LEMD3	MAN1_HUMAN
354	P12931	SRC	SRC_HUMAN
355	Q12778	FOXO1	FOXO1_HUMAN
356	O00499	BIN1	BIN1_HUMAN
357	Q8IVH8	MAP4K3	M4K3_HUMAN
358	P35613	BSG	BASI_HUMAN
359	Q658P3	STEAP3	STEA3_HUMAN
360	O15226	NKRF	NKRF_HUMAN
361	Q13148	TARDBP	TADBP_HUMAN
362	P16444	DPEP1	DPEP1_HUMAN
363	Q8NFG4	FLCN	FLCN_HUMAN
364	Q9NX58	LYAR	LYAR_HUMAN
365	O75915	ARL6IP5	PRAF3_HUMAN
366	P13598	ICAM2	ICAM2_HUMAN
367	Q04864	REL	REL_HUMAN
368	Q96H72	SLC39A13	S39AD_HUMAN
369	Q8N556	AFAP1	AFAP1_HUMAN
370	Q3KNV8	PCGF3	PCGF3_HUMAN
371	Q58FG0	HSP90AA5P	HS905_HUMAN
372	Q99558	MAP3K14	M3K14_HUMAN
373	P08319	ADH4	ADH4_HUMAN
374	P48431	SOX2	SOX2_HUMAN
375	Q9BXB4	OSBPL11	OSB11_HUMAN
376	P17612	PRKACA	KAPCA_HUMAN
377	Q9H3Z4	DNAJC5	DNJC5_HUMAN
378	Q12906	ILF3	ILF3_HUMAN
379	P55085	F2RL1	PAR2_HUMAN
380	P31946	YWHAB	1433B_HUMAN
381	Q86X27	RALGPS2	RGPS2_HUMAN
382	P98168	ZXDA	ZXDA_HUMAN
383	Q2QGD7	ZXDC	ZXDC_HUMAN
384	P52655	GTF2A1	TF2AA_HUMAN
385	Q6SJ96	TBPL2	TBPL2_HUMAN
386	P62140	PPP1CB	PP1B_HUMAN
387	Q9ULV0	MYO5B	MYO5B_HUMAN
388	Q86Y82	STX12	STX12_HUMAN
389	Q9NZ43	USE1	USE1_HUMAN
390	P30876	POLR2B	RPB2_HUMAN
391	Q9Y6K9	IKBKG	NEMO_HUMAN
392	Q86WS5	TMPRSS12	TMPSC_HUMAN
393	Q14126	DSG2	DSG2_HUMAN
394	Q99959	PKP2	PKP2_HUMAN
395	Q07817	BCL2L1	B2CL1_HUMAN
396	P35453	HOXD13	HXD13_HUMAN
397	Q6PIV2	FOXR1	FOXR1_HUMAN
398	P07550	ADRB2	ADRB2_HUMAN
399	P61619	SEC61A1	S61A1_HUMAN
400	P36897	TGFBR1	TGFR1_HUMAN
401	P57735	RAB25	RAB25_HUMAN
402	P12955	PEPD	PEPD_HUMAN
403	P14618	PKM	KPYM_HUMAN
404	Q05639	EEF1A2	EF1A2_HUMAN
405	Q12933	TRAF2	TRAF2_HUMAN
406	Q7Z2Z2	EFL1	EFL1_HUMAN
407	Q9NVE7	PANK4	PANK4_HUMAN
408	P00395	MT-CO1	COX1_HUMAN
409	Q9BVV7	TIMM21	TIM21_HUMAN
410	P0C0S5	H2AZ1	H2AZ_HUMAN
411	Q96L91	EP400	EP400_HUMAN
412	O75306	NDUFS2	NDUS2_HUMAN
413	Q14562	DHX8	DHX8_HUMAN
414	Q96HN2	AHCYL2	SAHH3_HUMAN
415	P62249	RPS16	RS16_HUMAN
416	P0CG47	UBB	UBB_HUMAN
417	P19438	TNFRSF1A	TNR1A_HUMAN
418	O60812	HNRNPCL1	HNRC1_HUMAN
419	Q12926	ELAVL2	ELAV2_HUMAN
420	Q53H96	PYCR3	P5CR3_HUMAN
421	P62987	UBA52	RL40_HUMAN
422	Q13501	SQSTM1	SQSTM_HUMAN
423	P23497	SP100	SP100_HUMAN
424	Q99856	ARID3A	ARI3A_HUMAN
425	P42694	HELZ	HELZ_HUMAN
426	P40616	ARL1	ARL1_HUMAN
427	Q15459	SF3A1	SF3A1_HUMAN
428	Q86TB9	PATL1	PATL1_HUMAN
429	P63172	DYNLT1	DYLT1_HUMAN
430	Q9UMZ2	SYNRG	SYNRG_HUMAN
431	P36406	TRIM23	TRI23_HUMAN
432	Q9H8T0	AKTIP	AKTIP_HUMAN
433	Q8IUE0	TGIF2LY	TF2LY_HUMAN
434	Q96KB5	PBK	TOPK_HUMAN
435	Q8IYX3	CCDC116	CC116_HUMAN
436	Q9BQ66	KRTAP4-12	KR412_HUMAN
437	Q9NYJ8	TAB2	TAB2_HUMAN
438	P54709	ATP1B3	AT1B3_HUMAN
439	Q5VSG8	MANEAL	MANEL_HUMAN
440	P42771	CDKN2A	CDN2A_HUMAN
441	Q504Q3	PAN2	PAN2_HUMAN
442	P82933	MRPS9	RT09_HUMAN
443	Q96DV4	MRPL38	RM38_HUMAN
444	Q16288	NTRK3	NTRK3_HUMAN
445	Q8N1S5	SLC39A11	S39AB_HUMAN
446	P55036	PSMD4	PSMD4_HUMAN
447	Q16186	ADRM1	ADRM1_HUMAN
448	Q96S55	WRNIP1	WRIP1_HUMAN
449	Q9UHP3	USP25	UBP25_HUMAN
450	O15213	WDR46	WDR46_HUMAN
451	Q99832	CCT7	TCPH_HUMAN
452	Q12929	EPS8	EPS8_HUMAN
453	P02652	APOA2	APOA2_HUMAN
454	P0C0L4	C4A	CO4A_HUMAN
455	P08865	RPSA	RSSA_HUMAN
456	Q8IWL3	HSCB	HSC20_HUMAN
457	Q9UM13	ANAPC10	APC10_HUMAN
458	O60779	SLC19A2	S19A2_HUMAN
459	Q13363	CTBP1	CTBP1_HUMAN
460	Q6ZRI6	C15orf39	CO039_HUMAN
461	A4D2B8	PMS2P1	PM2P1_HUMAN
462	O75818	RPP40	RPP40_HUMAN
463	P00533	EGFR	EGFR_HUMAN
464	P29353	SHC1	SHC1_HUMAN
465	Q13061	TRDN	TRDN_HUMAN
466	Q8IY95	TMEM192	TM192_HUMAN
467	P61289	PSME3	PSME3_HUMAN
468	Q9H1Y0	ATG5	ATG5_HUMAN
469	P19404	NDUFV2	NDUV2_HUMAN
470	Q8N4V1	MMGT1	MMGT1_HUMAN
471	P11464	PSG1	PSG1_HUMAN
472	Q9Y561	LRP12	LRP12_HUMAN
473	P57078	RIPK4	RIPK4_HUMAN
474	P61586	RHOA	RHOA_HUMAN
475	Q7Z7G1	CLNK	CLNK_HUMAN
476	Q69383	ERVK-6	REC6_HUMAN
477	Q9Y2Y4	ZBTB32	ZBT32_HUMAN
478	O14980	XPO1	XPO1_HUMAN
479	Q53EZ4	CEP55	CEP55_HUMAN
480	P23528	CFL1	COF1_HUMAN
481	P26368	U2AF2	U2AF2_HUMAN
482	O43303	CCP110	CP110_HUMAN
483	Q8IW35	CEP97	CEP97_HUMAN
484	Q07020	RPL18	RL18_HUMAN
485	Q9BVP2	GNL3	GNL3_HUMAN
486	Q15019	SEPTIN2	SEPT2_HUMAN
487	Q9BTE6	AARSD1	AASD1_HUMAN
488	Q12815	TROAP	TROAP_HUMAN
489	Q9Y463	DYRK1B	DYR1B_HUMAN
490	Q9UHB6	LIMA1	LIMA1_HUMAN
491	Q9UJF2	RASAL2	NGAP_HUMAN
492	Q96A19	CCDC102A	C102A_HUMAN
493	Q9UIF3	TEKT2	TEKT2_HUMAN
494	Q13233	MAP3K1	M3K1_HUMAN
495	Q5TB80	CEP162	CE162_HUMAN
496	Q8WWM7	ATXN2L	ATX2L_HUMAN
497	P26599	PTBP1	PTBP1_HUMAN
498	Q16526	CRY1	CRY1_HUMAN
499	Q14197	MRPL58	ICT1_HUMAN
500	O00442	RTCA	RTCA_HUMAN
501	Q9Y3U8	RPL36	RL36_HUMAN
502	P35555	FBN1	FBN1_HUMAN
503	P98160	HSPG2	PGBM_HUMAN
504	O43143	DHX15	DHX15_HUMAN
505	P31947	SFN	1433S_HUMAN
506	O00626	CCL22	CCL22_HUMAN
507	Q1L5Z9	LONRF2	LONF2_HUMAN
508	Q6NXS1	PPP1R2B	IPP2B_HUMAN
509	P07205	PGK2	PGK2_HUMAN
510	Q8N865	C7orf31	CG031_HUMAN
511	Q9Y2E6	DTX4	DTX4_HUMAN
512	P18754	RCC1	RCC1_HUMAN
513	Q9Y4K3	TRAF6	TRAF6_HUMAN
514	P05412	JUN	JUN_HUMAN
515	P08195	SLC3A2	4F2_HUMAN
516	P14927	UQCRB	QCR7_HUMAN
517	P01116	KRAS	RASK_HUMAN
518	Q92748	THRSP	THRSP_HUMAN
519	A0AVT1	UBA6	UBA6_HUMAN
520	P12268	IMPDH2	IMDH2_HUMAN
521	O15427	SLC16A3	MOT4_HUMAN
522	P07602	PSAP	SAP_HUMAN
523	Q05086	UBE3A	UBE3A_HUMAN
524	Q86VR2	RETREG3	RETR3_HUMAN
525	Q9HDC5	JPH1	JPH1_HUMAN
526	Q9P299	COPZ2	COPZ2_HUMAN
527	Q9Y678	COPG1	COPG1_HUMAN
528	Q9NQ11	ATP13A2	AT132_HUMAN
529	Q9Y5F2	PCDHB11	PCDBB_HUMAN
530	Q13422	IKZF1	IKZF1_HUMAN
531	Q13547	HDAC1	HDAC1_HUMAN
532	P36957	DLST	ODO2_HUMAN
533	Q13263	TRIM28	TIF1B_HUMAN
534	P49674	CSNK1E	KC1E_HUMAN
535	Q93008	USP9X	USP9X_HUMAN
536	P20333	TNFRSF1B	TNR1B_HUMAN
537	P53618	COPB1	COPB_HUMAN
538	Q9BRX2	PELO	PELO_HUMAN
539	Q01105	SET	SET_HUMAN
540	P17252	PRKCA	KPCA_HUMAN
541	Q03060	CREM	CREM_HUMAN
542	P60842	EIF4A1	IF4A1_HUMAN
543	O96017	CHEK2	CHK2_HUMAN
544	Q15393	SF3B3	SF3B3_HUMAN
545	O43914	TYROBP	TYOBP_HUMAN
546	Q9NP99	TREM1	TREM1_HUMAN
547	P62820	RAB1A	RAB1A_HUMAN
548	Q53GQ0	HSD17B12	DHB12_HUMAN
549	Q99615	DNAJC7	DNJC7_HUMAN
550	Q9BUB5	MKNK1	MKNK1_HUMAN
551	P05198	EIF2S1	IF2A_HUMAN
552	P11308	ERG	ERG_HUMAN
553	Q14790	CASP8	CASP8_HUMAN
554	Q96DZ5	CLIP3	CLIP3_HUMAN
555	G3V325	ATP5MF-PTCD1	G3V325_HUMAN
556	Q8NHV4	NEDD1	NEDD1_HUMAN
557	P22087	FBL	FBRL_HUMAN
558	Q9H2A9	CHST8	CHST8_HUMAN
559	Q9H9G7	AGO3	AGO3_HUMAN
560	Q00403	GTF2B	TF2B_HUMAN
561	Q13887	KLF5	KLF5_HUMAN
562	P13501	CCL5	CCL5_HUMAN
563	P49682	CXCR3	CXCR3_HUMAN
564	P09622	DLD	DLDH_HUMAN
565	P19387	POLR2C	RPB3_HUMAN
566	O00762	UBE2C	UBE2C_HUMAN
567	Q9UBF6	RNF7	RBX2_HUMAN
568	Q14722	KCNAB1	KCAB1_HUMAN
569	Q9NY26	SLC39A1	S39A1_HUMAN
