	protein_ac	gene_name	protein_name
8065	P11766	ADH5	ADHX_HUMAN
8066	P13798	APEH	ACPH_HUMAN
8067	P00740	F9	FA9_HUMAN
8068	Q8IUR5	TMTC1	TMTC1_HUMAN
8069	Q9BYR8	KRTAP3-1	KRA31_HUMAN
8070	Q5VTL8	PRPF38B	PR38B_HUMAN
8071	Q96II8	LRCH3	LRCH3_HUMAN
8072	Q9UPZ3	HPS5	HPS5_HUMAN
8073	Q2PZI1	DPY19L1	D19L1_HUMAN
8074	Q86UY8	NT5DC3	NT5D3_HUMAN
8075	O15511	ARPC5	ARPC5_HUMAN
8076	Q9Y4F4	TOGARAM1	TGRM1_HUMAN
8077	Q8WWF3	SSMEM1	SSMM1_HUMAN
8078	Q9Y305	ACOT9	ACOT9_HUMAN
8079	Q96E11	MRRF	RRFM_HUMAN
8080	Q9NPG3	UBN1	UBN1_HUMAN
8081	P17900	GM2A	SAP3_HUMAN
8082	Q9GZU5	NYX	NYX_HUMAN
8083	Q9P0S2	COX16	COX16_HUMAN
8084	Q96JI7	SPG11	SPTCS_HUMAN
8085	O75969	AKAP3	AKAP3_HUMAN
8086	Q9BZX4	ROPN1B	ROP1B_HUMAN
8087	Q8WYK2	JDP2	JDP2_HUMAN
8088	Q96BD5	PHF21A	PF21A_HUMAN
8089	Q5TA78	LCE4A	LCE4A_HUMAN
8090	Q8WUU4	ZNF296	ZN296_HUMAN
8091	Q7L775	EPM2AIP1	EPMIP_HUMAN
8092	Q14392	LRRC32	LRC32_HUMAN
8093	Q5T2N8	ATAD3C	ATD3C_HUMAN
8094	Q9NZC3	GDE1	GDE1_HUMAN
8095	Q5W0V3	FAM160B1	F16B1_HUMAN
8096	Q96K58	ZNF668	ZN668_HUMAN
8097	P23560	BDNF	BDNF_HUMAN
8098	Q99569	PKP4	PKP4_HUMAN
8099	Q15785	TOMM34	TOM34_HUMAN
8100	Q9H1C4	UNC93B1	UN93B_HUMAN
8101	B4DNQ8		B4DNQ8_HUMAN
8102	Q9Y3R0	GRIP1	GRIP1_HUMAN
8103	P36639	NUDT1	8ODP_HUMAN
8104	Q9HB63	NTN4	NET4_HUMAN
8105	Q5XUX0	FBXO31	FBX31_HUMAN
8106	Q8TAG9	EXOC6	EXOC6_HUMAN
8107	P35348	ADRA1A	ADA1A_HUMAN
8108	Q86Y04	MAP4	Q86Y04_HUMAN
8109	O95502	NPTXR	NPTXR_HUMAN
8110	Q8WUJ1	CYB5D2	NEUFC_HUMAN
8111	O15315	RAD51B	RA51B_HUMAN
8112	Q8N465	D2HGDH	D2HDH_HUMAN
8113	P79522	PRR3	PRR3_HUMAN
8114	Q96IQ7	VSIG2	VSIG2_HUMAN
8115	Q9BQ31	KCNS3	KCNS3_HUMAN
8116	Q8N0S6	CENPL	CENPL_HUMAN
8117	Q9BQQ3	GORASP1	GORS1_HUMAN
8118	Q6DN90	IQSEC1	IQEC1_HUMAN
8119	Q9UIF8	BAZ2B	BAZ2B_HUMAN
8120	Q99941	ATF6B	ATF6B_HUMAN
8121	O15014	ZNF609	ZN609_HUMAN
8122	Q2YD98	UVSSA	UVSSA_HUMAN
8123	Q8WYB9	DMD	Q8WYB9_HUMAN
8124	Q5JVL4	EFHC1	EFHC1_HUMAN
8125	Q92636	NSMAF	FAN_HUMAN
8126	O60266	ADCY3	ADCY3_HUMAN
8127	P56377	AP1S2	AP1S2_HUMAN
8128	O75563	SKAP2	SKAP2_HUMAN
8129	Q8TBE0	BAHD1	BAHD1_HUMAN
8130	Q6XPS3	TPTE2	TPTE2_HUMAN
8131	P50616	TOB1	TOB1_HUMAN
8132	Q8WUD1	RAB2B	RAB2B_HUMAN
8133	Q9H2H0	CXXC4	CXXC4_HUMAN
8134	Q9H8M2	BRD9	BRD9_HUMAN
8135	P30793	GCH1	GCH1_HUMAN
8136	Q13163	MAP2K5	MP2K5_HUMAN
8137	Q9UBK7	RABL2A	RBL2A_HUMAN
8138	Q7L7X3	TAOK1	TAOK1_HUMAN
8139	Q9H190	SDCBP2	SDCB2_HUMAN
8140	Q8N4P2	TTC30B	TT30B_HUMAN
8141	P30047	GCHFR	GFRP_HUMAN
8142	Q9UK17	KCND3	KCND3_HUMAN
8143	Q14494	NFE2L1	NF2L1_HUMAN
8144	P61927	RPL37	RL37_HUMAN
8145	Q99880	H2BC13	H2B1L_HUMAN
8146	P16860	NPPB	ANFB_HUMAN
8147	O75431	MTX2	MTX2_HUMAN
8148	Q9HCJ0	TNRC6C	TNR6C_HUMAN
8149	Q96EA4	SPDL1	SPDLY_HUMAN
8150	Q96G21	IMP4	IMP4_HUMAN
8151	Q96A25	TMEM106A	T106A_HUMAN
8152	O43240	KLK10	KLK10_HUMAN
8153	Q9HAW8	UGT1A10	UD110_HUMAN
8154	O75157	TSC22D2	T22D2_HUMAN
8155	O95073	FSBP	FSBP_HUMAN
8156	Q86SJ6	DSG4	DSG4_HUMAN
8157	Q9H898	ZMAT4	ZMAT4_HUMAN
8158	P49796	RGS3	RGS3_HUMAN
8159	Q9BQ90	KLHDC3	KLDC3_HUMAN
8160	O14531	DPYSL4	DPYL4_HUMAN
8161	Q9NQW1	SEC31B	SC31B_HUMAN
8162	Q8N112	LSMEM2	LSME2_HUMAN
8163	P19013	KRT4	K2C4_HUMAN
8164	Q5HYC2	KIAA2026	K2026_HUMAN
8165	Q9HAC8	UBTD1	UBTD1_HUMAN
8166	P00749	PLAU	UROK_HUMAN
8167	Q70IA6	MOB2	MOB2_HUMAN
8168	Q92784	DPF3	DPF3_HUMAN
8169	O00167	EYA2	EYA2_HUMAN
8170	P0CG12	DERPC	DERPC_HUMAN
8171	Q9BUP3	HTATIP2	HTAI2_HUMAN
8172	Q86VI3	IQGAP3	IQGA3_HUMAN
8173	Q9NYQ8	FAT2	FAT2_HUMAN
8174	O75683	SURF6	SURF6_HUMAN
8175	Q9NXE4	SMPD4	NSMA3_HUMAN
8176	Q8NI60	COQ8A	COQ8A_HUMAN
8177	P62324	BTG1	BTG1_HUMAN
8178	Q9UQ07	MOK	MOK_HUMAN
8179	P35080	PFN2	PROF2_HUMAN
8180	Q14789	GOLGB1	GOGB1_HUMAN
8181	Q8WWB3	DYDC1	DYDC1_HUMAN
8182	Q8WU90	ZC3H15	ZC3HF_HUMAN
8183	P15036	ETS2	ETS2_HUMAN
8184	Q9HC35	EML4	EMAL4_HUMAN
8185	Q641Q2	WASHC2A	WAC2A_HUMAN
8186	P05060	CHGB	SCG1_HUMAN
8187	Q9H5Q2		Q9H5Q2_HUMAN
8188	P54922	ADPRH	ADPRH_HUMAN
8189	Q14592	ZNF460	ZN460_HUMAN
8190	Q0P6D6	CCDC15	CCD15_HUMAN
8191	Q96DX7	TRIM44	TRI44_HUMAN
8192	P04141	CSF2	CSF2_HUMAN
8193	Q6PEY2	TUBA3E	TBA3E_HUMAN
8194	Q14165	MLEC	MLEC_HUMAN
8195	P23297	S100A1	S10A1_HUMAN
8196	Q6ZVW3		Q6ZVW3_HUMAN
8197	Q9UNA4	POLI	POLI_HUMAN
8198	Q86UG4	SLCO6A1	SO6A1_HUMAN
8199	Q9NPH0	ACP6	PPA6_HUMAN
8200	Q99717	SMAD5	SMAD5_HUMAN
8201	Q9P2X3	IMPACT	IMPCT_HUMAN
8202	P17812	CTPS1	PYRG1_HUMAN
8203	Q14442	PIGH	PIGH_HUMAN
8204	P24468	NR2F2	COT2_HUMAN
8205	Q9P086	MED11	MED11_HUMAN
8206	Q9NQ84	GPRC5C	GPC5C_HUMAN
8207	Q9BQB4	SOST	SOST_HUMAN
8208	Q9NQ92	COPRS	COPRS_HUMAN
8209	Q8N680	ZBTB2	ZBTB2_HUMAN
8210	Q9UHQ1	NARF	NARF_HUMAN
8211	O60936	NOL3	NOL3_HUMAN
8212	P42575	CASP2	CASP2_HUMAN
8213	Q16774	GUK1	KGUA_HUMAN
8214	Q6NUT2	DPY19L2	D19L2_HUMAN
8215	Q8IZW8	TNS4	TENS4_HUMAN
8216	Q8IX15	HOMEZ	HOMEZ_HUMAN
8217	Q15041	ARL6IP1	AR6P1_HUMAN
8218	Q92843	BCL2L2	B2CL2_HUMAN
8219	Q9BWL3	C1orf43	CA043_HUMAN
8220	Q13007	IL24	IL24_HUMAN
8221	P61009	SPCS3	SPCS3_HUMAN
8222	P58004	SESN2	SESN2_HUMAN
8223	Q8NG31	KNL1	KNL1_HUMAN
8224	P24390	KDELR1	ERD21_HUMAN
8225	Q8TDC3	BRSK1	BRSK1_HUMAN
8226	Q5VVJ2	MYSM1	MYSM1_HUMAN
8227	Q9NWB6	ARGLU1	ARGL1_HUMAN
8228	Q9H6F2	TMEM38A	TM38A_HUMAN
8229	Q8N2Q7	NLGN1	NLGN1_HUMAN
8230	Q8WV28	BLNK	BLNK_HUMAN
8231	Q8WUB2	FAM216A	F216A_HUMAN
8232	Q6KC79	NIPBL	NIPBL_HUMAN
8233	Q0D2H9	GOLGA8DP	GOG8D_HUMAN
8234	P32970	CD70	CD70_HUMAN
8235	P55774	CCL18	CCL18_HUMAN
8236	Q9BZ71	PITPNM3	PITM3_HUMAN
8237	Q9H251	CDH23	CAD23_HUMAN
8238	Q14108	SCARB2	SCRB2_HUMAN
8239	Q9HAH7	FBRS	FBRS_HUMAN
8240	Q99988	GDF15	GDF15_HUMAN
8241	Q96S16	JMJD8	JMJD8_HUMAN
8242	Q9BVH7	ST6GALNAC5	SIA7E_HUMAN
8243	Q9Y3A5	SBDS	SBDS_HUMAN
8244	Q9H9A6	LRRC40	LRC40_HUMAN
8245	Q9Y616	IRAK3	IRAK3_HUMAN
8246	Q9Y6I7	WSB1	WSB1_HUMAN
8247	O43314	PPIP5K2	VIP2_HUMAN
8248	Q6RFH5	WDR74	WDR74_HUMAN
8249	Q7Z3I7	ZNF572	ZN572_HUMAN
8250	P41159	LEP	LEP_HUMAN
8251	P49005	POLD2	DPOD2_HUMAN
8252	Q9ULJ7	ANKRD50	ANR50_HUMAN
8253	Q7Z403	TMC6	TMC6_HUMAN
8254	Q86XP3	DDX42	DDX42_HUMAN
8255	O95411	TIAF1	TIAF1_HUMAN
8256	Q96QH2	PRAM1	PRAM_HUMAN
8257	P50453	SERPINB9	SPB9_HUMAN
8258	Q7Z418	KCNK18	KCNKI_HUMAN
8259	Q96JP5	ZFP91	ZFP91_HUMAN
8260	Q9NWT8	AURKAIP1	AKIP_HUMAN
8261	Q12986	NFX1	NFX1_HUMAN
8262	O95832	CLDN1	CLD1_HUMAN
8263	Q7Z465	BNIPL	BNIPL_HUMAN
8264	Q16670	ZSCAN26	ZSC26_HUMAN
8265	P09914	IFIT1	IFIT1_HUMAN
8266	O75391	SPAG7	SPAG7_HUMAN
8267	O95926	SYF2	SYF2_HUMAN
8268	P14770	GP9	GPIX_HUMAN
8269	P43378	PTPN9	PTN9_HUMAN
8270	Q8TD06	AGR3	AGR3_HUMAN
8271	P32249	GPR183	GP183_HUMAN
8272	P51654	GPC3	GPC3_HUMAN
8273	O75154	RAB11FIP3	RFIP3_HUMAN
8274	Q15761	NPY5R	NPY5R_HUMAN
8275	O60291	MGRN1	MGRN1_HUMAN
8276	Q6PGQ1	DRICH1	DRIC1_HUMAN
8277	Q9Y4D2	DAGLA	DGLA_HUMAN
8278	Q9NWH7	SPATA6	SPAT6_HUMAN
8279	P25098	GRK2	ARBK1_HUMAN
8280	P57105	SYNJ2BP	SYJ2B_HUMAN
8281	Q96KV7	WDR90	WDR90_HUMAN
8282	Q9BZM5	ULBP2	ULBP2_HUMAN
8283	Q8NCA9	ZNF784	ZN784_HUMAN
8284	Q8WTS1	ABHD5	ABHD5_HUMAN
8285	Q8NFZ4	NLGN2	NLGN2_HUMAN
8286	Q14527	HLTF	HLTF_HUMAN
8287	P23527	HIST1H2BO	H2B1O_HUMAN
8288	Q8NAV1	PRPF38A	PR38A_HUMAN
8289	P01303	NPY	NPY_HUMAN
8290	Q16819	MEP1A	MEP1A_HUMAN
8291	P49773	HINT1	HINT1_HUMAN
8292	Q13126	MTAP	MTAP_HUMAN
8293	P59020	DSCR9	DSCR9_HUMAN
8294	P62253	UBE2G1	UB2G1_HUMAN
8295	Q9HBA0	TRPV4	TRPV4_HUMAN
8296	Q5SWA1	PPP1R15B	PR15B_HUMAN
8297	Q96IX5	ATP5MD	ATPMD_HUMAN
