drugbank_id	mondo_id
DB04564	0006678
DB04572	0008170
DB04572	0011508
DB04572	0001187
DB04572	0004379
DB04575	0001410
DB04575	0005387
DB05829	0001220
DB05812	0008315
DB05679	0005083
DB05630	0011989
DB04465	0009116
DB03166	0004795
DB05773	0006244
DB01069	0005642
DB01069	0005492
DB01069	0005324
DB01069	0006004
DB01068	0016532
DB01068	0005383
DB01067	0005148
DB01077	0005382
DB01077	0043455
DB01076	0002277
DB01076	0005347
DB01076	0018473
DB01076	0005098
DB01076	0018328
DB01076	0006021
DB01075	0013600
DB01075	0005642
DB01075	0005324
DB01075	0006004
DB01072	0005109
DB01070	0000313
DB01070	0001220
DB01070	0005520
DB13064	0011786
DB13064	0005709
DB13064	0005642
DB13064	0005324
DB13064	0006004
DB01088	0015924
DB01087	0005921
DB01086	0001461
DB01086	0005984
DB01085	0006875
DB01085	0005338
DB01084	0005642
DB01084	0005492
DB01083	0011122
DB01082	0001797
DB01082	0005777
DB01082	0005683
DB01082	0006052
DB01082	0018077
DB01082	0019095
DB01080	0018097
DB01098	0002277
DB01098	0005347
DB01098	0018473
DB01098	0005098
DB01098	0018328
DB01096	0015254
DB01095	0002277
DB01093	0018301
DB01091	0001461
DB01091	0001405
DB01091	0005984
DB01091	0005915
DB01029	0005044
DB01029	0005016
DB01026	0024343
DB01026	0001461
DB01026	0001405
DB01026	0015908
DB01026	0005984
DB01026	0005915
DB01026	0005886
DB01026	0042233
DB01026	0018312
DB02362	0016367
DB02362	0006594
DB02362	0005100
DB01023	0005044
DB01033	0012883
DB01033	0004967
DB01032	0002144
DB01031	0013600
DB01030	0008170
DB01030	0002974
DB01030	0008433
DB01037	0002009
DB01037	0005180
DB01036	0006624
DB01044	0025598
DB01044	0001080
DB01044	0004652
DB01044	0005972
DB01044	0005970
DB01044	0005867
DB01044	0005545
DB01042	0008170
DB01049	0001627
DB01048	0005109
DB01045	0040753
DB01045	0006052
DB01053	0000979
DB01053	0000744
DB01053	0001701
DB01053	0000265
DB01053	0000237
DB01053	0002897
DB01053	0040998
DB01053	0040925
DB01053	0040922
DB01053	0040923
DB01053	0001316
DB01053	0001266
DB01053	0041903
DB01053	0004944
DB01053	0002258
DB01053	0005952
DB01053	0005972
DB01053	0005976
DB01053	0042972
DB01053	0005901
DB01053	0016595
DB01053	0005822
DB01053	0005714
DB01053	0004497
DB01053	0006921
DB01053	0006941
DB01053	0005699
DB01053	0006913
DB01053	0005526
DB01053	0005545
DB01053	0004215
DB01053	0005504
DB01053	0006836
DB01053	0042452
DB01053	0005498
DB01053	0006669
DB01053	0005119
DB01053	0020544
DB01053	0018059
DB01053	0021680
DB01053	0006019
DB01053	0021201
DB01050	0008143
DB01050	0021146
DB01050	0008383
DB01050	0011827
DB01059	0045031
DB01059	0001964
DB01059	0001797
DB01059	0025598
DB01059	0040732
DB01059	0003781
DB01059	0001080
DB01059	0004795
DB01059	0002186
DB01059	0004652
DB01059	0005972
DB01059	0005970
DB01059	0005945
DB01059	0005867
DB01059	0030602
DB01059	0005619
DB01059	0006939
DB01059	0005545
DB01059	0004277
DB01059	0004264
DB01059	0042451
DB01059	0041095
DB01059	0020920
DB01059	0005280
DB01059	0005297
DB01059	0005247
DB01059	0005249
DB01059	0005119
DB01059	0019345
DB01059	0006032
DB01059	0021201
DB01058	0005884
DB01058	0015254
DB01057	0004896
DB01057	0005338
DB01057	0005041
DB01066	0004652
DB01066	0005972
DB01066	0005545
DB01065	0024376
DB01064	0000745
DB01064	0000465
DB01064	0005709
DB01063	0005485
DB01062	0001445
DB01062	0006624
DB01061	0000265
DB01061	0005247
DB01061	0021201
DB01060	0002258
DB01060	0041879
DB01060	0004652
DB01060	0005972
DB01060	0005945
DB01060	0030602
DB01060	0005545
DB01060	0020920
DB01060	0005247
DB01060	0021201
DB13036	0011786
DB01000	0003781
DB01000	0002258
DB01000	0005247
DB01000	0021201
