	drug_id	protein_ac
301	DB00081	P31994
302	DB00081	P31995
303	DB00082	P10912
304	DB00083	P60880
305	DB00083	P62745
306	DB00086	P00747
307	DB00086	P25116
308	DB00087	P31358
309	DB00087	O75015
310	DB00087	P00736
311	DB00087	P02745
312	DB00087	P02746
313	DB00087	P02747
314	DB00087	P08637
315	DB00087	P12314
316	DB00087	P12318
317	DB00087	P31994
318	DB00087	P31995
319	DB00089	Q04609
320	DB00091	P49069
321	DB00091	Q96LZ3
322	DB00091	P62937
323	DB00091	P30405
324	DB00091	Q02127
325	DB00091	P62942
326	DB00091	P21452
327	DB00091	P08183
328	DB00091	P08684
329	DB00091	Q14973
330	DB00091	Q9NPD5
331	DB00091	P21462
332	DB00091	Q92887
333	DB00091	P33527
334	DB00091	Q08209
335	DB00091	Q08752
336	DB00091	P23284
337	DB00091	P68106
338	DB00091	Q02790
339	DB00091	Q9UNQ0
340	DB00091	O95342
341	DB00091	Q9Y6L6
342	DB00092	P06729
343	DB00092	P00736
344	DB00092	P02745
345	DB00092	P02746
346	DB00092	P02747
347	DB00092	P08637
348	DB00092	P12314
349	DB00092	P12318
350	DB00092	P31994
351	DB00092	P31995
352	DB00092	O75015
353	DB00093	P37288
354	DB00094	P23945
355	DB00095	P20701
356	DB00095	O75015
357	DB00095	P00736
358	DB00095	P02745
359	DB00095	P02746
360	DB00095	P02747
361	DB00095	P08637
362	DB00095	P12314
363	DB00095	P12318
364	DB00095	P31994
365	DB00095	P31995
366	DB00097	P22888
367	DB00097	P23945
368	DB00098	P06126
369	DB00098	Q95460
370	DB00098	P20701
371	DB00098	P42081
372	DB00098	P31994
373	DB00098	P01730
374	DB00098	P05556
375	DB00098	P06756
376	DB00098	P05106
377	DB00099	Q99062
378	DB00099	P08246
379	DB00100	P00742
380	DB00100	P03951
381	DB00100	P08709
382	DB00100	P00451
383	DB00100	P00734
384	DB00100	Q07954
385	DB00100	P38435
386	DB00102	P09619
387	DB00102	P16234
388	DB00102	P01023
389	DB00104	P30872
390	DB00104	P35346
391	DB00104	P30874
392	DB00104	P32745
393	DB00104	P35372
394	DB00104	P31391
395	DB00105	P48551
396	DB00105	P17181
397	DB00106	P30968
398	DB00107	P30559
399	DB00107	P01178
400	DB00107	P30518
401	DB00107	P47901
402	DB00107	P37288
403	DB00108	P13612
404	DB00108	O75015
405	DB00108	P00736
406	DB00108	P02745
407	DB00108	P02746
408	DB00108	P02747
409	DB00108	P08637
410	DB00108	P12314
411	DB00108	P12318
412	DB00108	P31994
413	DB00108	P31995
414	DB00108	P05362
415	DB00108	P05556
416	DB00108	P26010
417	DB00110	O75015
418	DB00110	P00736
419	DB00110	P02745
420	DB00110	P02746
421	DB00110	P02747
422	DB00110	P08637
423	DB00110	P12314
424	DB00110	P12318
425	DB00110	P31994
426	DB00110	P31995
427	DB00111	P01589
428	DB00111	P14784
429	DB00111	O75015
430	DB00111	P00736
431	DB00111	P02745
432	DB00111	P02746
433	DB00111	P02747
434	DB00111	P08637
435	DB00111	P12314
436	DB00111	P12318
437	DB00111	P31994
438	DB00111	P31995
439	DB00111	P31785
440	DB00112	P15692
441	DB00112	O75015
442	DB00112	P00736
443	DB00112	P02745
444	DB00112	P02746
445	DB00112	P02747
446	DB00112	P08637
447	DB00112	P12314
448	DB00112	P12318
449	DB00112	P31994
450	DB00112	P31995
451	DB00113	P13688
452	DB00114	Q9BYV1
453	DB00114	Q99259
454	DB00114	P35520
455	DB00114	Q16719
456	DB00114	P34896
457	DB00114	Q9Y697
458	DB00114	P17174
459	DB00114	P04181
460	DB00114	P11926
461	DB00114	Q8N5Z0
462	DB00114	P80404
463	DB00114	Q9NVS9
464	DB00114	O95470
465	DB00114	P17735
466	DB00114	Q16773
467	DB00114	Q8IYQ7
468	DB00114	P06737
469	DB00114	O15270
470	DB00114	Q9Y600
471	DB00114	P19113
472	DB00114	Q96A70
473	DB00114	P20132
474	DB00114	O75600
475	DB00114	P23378
476	DB00114	P24298
477	DB00114	Q9Y617
478	DB00114	P13196
479	DB00114	P21549
480	DB00114	Q96GD0
481	DB00114	O15269
482	DB00114	P32929
483	DB00114	P54687
484	DB00114	O15382
485	DB00114	O94903
486	DB00114	O95954
487	DB00114	P00505
488	DB00114	P11216
489	DB00114	P11217
490	DB00114	P20711
491	DB00114	Q2TU84
492	DB00114	Q53ET4
493	DB00114	Q59FK2
494	DB00114	Q59GM9
495	DB00114	Q59HE2
496	DB00114	Q5JAM2
497	DB00114	Q5VZ30
498	DB00114	Q6IBS8
499	DB00114	Q6P996
500	DB00114	Q6YP21
501	DB00114	Q6ZQY3
502	DB00114	Q96I15
503	DB00114	Q6WRI0
504	DB00114	Q8IUZ5
505	DB00114	Q8IVA8
506	DB00114	P34897
507	DB00114	P22557
508	DB00114	Q8TD30
509	DB00114	Q96EN8
510	DB00114	Q96GA7
511	DB00114	Q96JQ3
512	DB00114	Q9BXA1
513	DB00114	Q9GZT4
514	DB00114	Q9HD40
515	DB00114	Q9NUV7
516	DB00114	Q9UGI5
517	DB00114	Q9UJX1
518	DB00115	Q99707
519	DB00115	P22033
520	DB00115	Q9UBK8
521	DB00115	Q8IVH4
522	DB00115	Q9Y4U1
523	DB00115	P42898
524	DB00115	Q9BXJ7
525	DB00115	Q96EY8
526	DB00115	P20062
527	DB00115	P20061
528	DB00116	P11586
529	DB00116	P13995
530	DB00116	P48728
531	DB00116	O75891
532	DB00116	Q99707
533	DB00116	O95954
534	DB00116	P31939
535	DB00116	P34896
536	DB00116	P34897
537	DB00116	P42898
538	DB00116	Q53ET4
539	DB00116	Q96DP5
540	DB00117	P19113
541	DB00117	P12081
542	DB00117	Q99624
543	DB00117	P42357
544	DB00118	Q14749
545	DB00118	P17707
546	DB00118	P31153
547	DB00118	P35520
548	DB00118	Q00266
549	DB00118	P21964
550	DB00118	Q8N1G2
551	DB00118	Q9HBK9
552	DB00118	P11086
553	DB00118	P22061
554	DB00118	Q99873
555	DB00119	O15427
556	DB00119	P36021
557	DB00119	Q9BYV1
558	DB00119	O15375
559	DB00119	P30613
560	DB00119	O15403
561	DB00119	O60669
562	DB00119	P11177
563	DB00119	P14618
564	DB00119	P80404
565	DB00119	O15374
566	DB00119	O95907
567	DB00119	P53985
568	DB00119	P11498
569	DB00120	P17735
570	DB00120	Q9UHI5
571	DB00120	Q9Y285
572	DB00120	P00439
573	DB00120	O95363
574	DB00120	Q9NSD9
575	DB00120	P07101
576	DB00120	Q6DWJ6
577	DB00121	P05166
578	DB00121	P50747
579	DB00121	Q9Y289
580	DB00121	Q9HCC0
581	DB00121	O00763
582	DB00121	Q96RQ3
583	DB00121	P11498
584	DB00121	P05165
585	DB00121	Q13085
586	DB00121	P14735
587	DB00122	Q9Y5K3
588	DB00122	P22303
589	DB00122	P49585
590	DB00122	O14939
591	DB00122	P06276
592	DB00122	Q13393
593	DB00122	Q8TCT1
594	DB00122	P36544
595	DB00123	P30825
596	DB00123	O43246
597	DB00123	Q8WY07
598	DB00123	P52569
599	DB00123	Q15046
600	DB00123	P00390
601	DB00125	P29474
602	DB00125	Q8WY07
603	DB00125	Q96A70
604	DB00125	P04424
605	DB00125	P35228
606	DB00125	P30825
607	DB00125	P78540
608	DB00125	O43246
609	DB00125	P00966
610	DB00126	P09848
611	DB00126	O00469
612	DB00126	O14832
613	DB00126	O60568
614	DB00126	O75936
615	DB00126	P09172
616	DB00126	P19021
617	DB00126	P13674
618	DB00126	Q32P28
619	DB00126	Q6N063
620	DB00126	Q6NS38
621	DB00126	Q8IVL5
622	DB00126	Q8IVL6
623	DB00126	Q8N543
624	DB00126	Q96KS0
625	DB00126	Q96Q83
626	DB00126	Q9BY66
627	DB00126	Q9GZT9
628	DB00126	Q9UHI7
629	DB00126	Q02809
630	DB00126	Q9H6Z9
631	DB00126	Q9NVH6
632	DB00126	Q9NXG6
633	DB00126	Q9UGH3
634	DB00126	P14679
635	DB00127	P52788
636	DB00127	Q9NWM0
637	DB00127	P11926
638	DB00127	P41180
639	DB00127	P08588
640	DB00127	P07550
641	DB00128	P07998
642	DB00128	P61626
643	DB00128	Q9UJS0
644	DB00128	P17174
645	DB00128	P45381
646	DB00128	P08243
647	DB00128	P00966
648	DB00128	Q03154
649	DB00128	P00505
650	DB00128	P14868
651	DB00128	O75746
652	DB00128	Q12797
653	DB00128	P22234
654	DB00128	P27708
655	DB00128	P30520
656	DB00128	P43005
657	DB00128	Q2TU84
658	DB00128	Q5T6L4
659	DB00128	Q6PI48
660	DB00128	Q7L266
661	DB00128	Q8N142
662	DB00128	Q96HD9
663	DB00129	P04181
664	DB00129	P00480
665	DB00129	P05089
666	DB00129	P54368
667	DB00129	P52569
668	DB00129	Q9BXI2
669	DB00129	O43246
670	DB00129	P30825
671	DB00129	P78540
672	DB00129	Q9Y619
673	DB00129	Q8WY07
674	DB00129	O95190
675	DB00129	P50440
676	DB00129	Q9UMX2
677	DB00129	Q5T6X5
678	DB00130	P17812
679	DB00130	Q06203
680	DB00130	P15104
681	DB00131	P16220
682	DB00131	P11309
683	DB00131	Q07343
684	DB00131	P06737
685	DB00131	Q9Y478
686	DB00131	P49773
687	DB00131	Q08499
688	DB00131	Q9NUB1
689	DB00131	Q9NR19
690	DB00131	Q13131
691	DB00131	O43741
692	DB00131	Q08828
693	DB00131	P33121
694	DB00131	P09467
695	DB00131	P55263
696	DB00132	O60427
697	DB00132	O95864
698	DB00132	P32418
699	DB00132	Q8NER1
700	DB00132	Q9GZR5
701	DB00132	Q07869
702	DB00132	Q96RI1
703	DB00132	Q03181
704	DB00132	P37231
705	DB00132	P19793
706	DB00132	P05413
707	DB00132	P11511
708	DB00132	P23219
709	DB00132	P13726
710	DB00133	P35520
711	DB00133	P20132
712	DB00133	Q9GZT4
713	DB00133	O15270
714	DB00133	O15269
715	DB00133	P49591
716	DB00133	P21549
717	DB00134	Q9UBK8
718	DB00134	Q99707
719	DB00134	P50579
720	DB00134	Q93088
721	DB00134	Q9H2M3
722	DB00135	P07101
723	DB00135	Q9Y2Z4
724	DB00135	P54577
725	DB00135	P17735
726	DB00136	P11473
727	DB00136	P31260
728	DB00136	Q6VVX0
729	DB00136	O15528
730	DB00136	P02774
731	DB00138	Q9UPY5
732	DB00138	O60931
733	DB00138	P82251
734	DB00138	Q07837
735	DB00139	Q99643
736	DB00139	Q9BXA5
737	DB00139	Q9BYC2
738	DB00139	Q9NVH6
739	DB00139	Q9P2R7
740	DB00139	Q9UBX3
741	DB00139	P31040
742	DB00139	O14756
743	DB00139	Q8WWT9
744	DB00139	Q13183
745	DB00139	Q9BZW2
746	DB00139	Q96I99
747	DB00139	O14521
748	DB00139	O15460
749	DB00139	O60568
750	DB00139	O75936
751	DB00139	P13674
752	DB00139	P21912
753	DB00139	P51649
754	DB00139	P53597
755	DB00139	P55809
756	DB00139	Q02809
757	DB00139	Q12797
758	DB00139	Q32P28
759	DB00139	Q8IVL5
760	DB00139	Q8IVL6
761	DB00139	Q9GZT9
762	DB00140	Q969G6
763	DB00140	P30043
764	DB00141	O60512
765	DB00141	O60513
766	DB00141	O60909
767	DB00141	Q9UJ70
768	DB00141	Q9UK23
769	DB00141	P54802
770	DB00141	P51606
771	DB00141	P15291
772	DB00142	Q13255
773	DB00142	Q14833
774	DB00142	Q16099
775	DB00142	Q16478
776	DB00142	Q14831
777	DB00142	O00222
778	DB00142	O00341
779	DB00142	O14841
780	DB00142	O15067
781	DB00142	O15382
782	DB00142	O15399
783	DB00142	O43424
784	DB00142	O60391
785	DB00142	O75879
786	DB00142	O94925
787	DB00142	P00505
788	DB00142	P07814
789	DB00142	P08243
790	DB00142	P15104
791	DB00142	P17174
792	DB00142	P17735
793	DB00142	P24298
794	DB00142	P38435
795	DB00142	P43003
796	DB00142	P43004
797	DB00142	P43005
798	DB00142	P48506
799	DB00142	P48664
800	DB00142	P49448
801	DB00142	P49915
802	DB00142	P54687
803	DB00142	P80404
804	DB00142	Q05586
805	DB00142	Q05932
806	DB00142	Q07075
807	DB00142	Q12879
808	DB00142	Q13224
809	DB00142	Q14957
810	DB00142	Q2TU84
811	DB00142	Q5JPH6
812	DB00142	Q5TDP6
813	DB00142	Q6IA69
814	DB00142	Q6YP21
815	DB00142	Q8N159
816	DB00142	Q8N5Z0
817	DB00142	Q8TCU5
818	DB00142	Q8TD30
819	DB00142	Q9H1K4
820	DB00142	Q9H936
821	DB00142	Q9UDR5
822	DB00142	Q9UI32
823	DB00142	Q9ULA0
824	DB00142	Q9ULK0
825	DB00142	Q9UPY5
826	DB00142	Q9Y646
827	DB00142	Q9Y617
828	DB00142	P00367
829	DB00142	P39086
830	DB00142	P42261
831	DB00142	P48507
832	DB00142	Q04609
833	DB00142	Q05329
834	DB00142	Q99259
835	DB00142	O95954
836	DB00142	P42262
837	DB00142	P42263
838	DB00142	P48058
839	DB00142	P54886
840	DB00142	Q13002
841	DB00142	Q13003
842	DB00142	Q14832
843	DB00142	Q14416
844	DB00142	P41594
845	DB00142	P0DMS8
846	DB00142	O15303
847	DB00142	P00390
848	DB00143	O14880
849	DB00143	O60760
850	DB00143	O95881
851	DB00143	P08263
852	DB00143	P09210
853	DB00143	P10620
854	DB00143	P10768
855	DB00143	P19440
856	DB00143	P28161
857	DB00143	P35754
858	DB00143	P36969
859	DB00143	P46439
860	DB00143	P59796
861	DB00143	Q16775
862	DB00143	Q6NSD4
863	DB00143	Q8TED1
864	DB00143	Q96SL4
865	DB00143	Q99735
866	DB00143	Q9H4Y5
867	DB00143	Q9NS18
868	DB00143	Q04760
869	DB00143	Q16873
870	DB00143	P00390
871	DB00143	P48637
872	DB00143	P09488
873	DB00143	Q9Y2Q3
874	DB00143	Q16772
875	DB00143	P21266
876	DB00143	O15217
877	DB00143	Q03013
878	DB00143	Q7RTV2
879	DB00143	P09211
880	DB00143	P78417
881	DB00143	P07203
882	DB00143	P18283
883	DB00143	P30711
884	DB00143	O43708
885	DB00143	O75715
886	DB00143	P22352
887	DB00143	P15121
888	DB00143	P14780
889	DB00143	P08684
890	DB00144	P49619
891	DB00144	Q16760
892	DB00144	Q9BVG9
893	DB00144	Q9NXE4
894	DB00144	Q9NY59
895	DB00144	Q9Y2Q0
896	DB00144	P17252
897	DB00144	P48651
898	DB00144	Q9UG56
899	DB00144	Q8WTV0
900	DB00145	O75600
901	DB00145	P13196
902	DB00145	P22557
903	DB00145	P23434
904	DB00145	P41250
905	DB00145	Q12879
906	DB00145	Q14032
907	DB00145	Q14330
908	DB00145	P48637
909	DB00145	Q14957
910	DB00145	Q53ET4
911	DB00145	Q6IB77
912	DB00145	Q7Z2H8
913	DB00145	P34897
914	DB00145	Q8WU03
915	DB00145	Q969I3
916	DB00145	Q9BYV1
917	DB00145	Q9H598
918	DB00145	Q9P0Z9
919	DB00145	Q9Y345
920	DB00145	O60391
921	DB00145	P23378
922	DB00145	P48067
923	DB00145	P23415
924	DB00145	P21549
925	DB00145	P48167
926	DB00145	P34896
927	DB00145	O75311
928	DB00145	P23416
929	DB00145	Q14749
930	DB00145	P50440
931	DB00146	P11473
932	DB00147	O00764
933	DB00147	P51575
934	DB00147	Q06278
935	DB00148	P06732
936	DB00148	P12532
937	DB00148	P12277
938	DB00148	P17540
939	DB00148	P48029
940	DB00148	Q14353
941	DB00149	Q15031
942	DB00149	O15382
943	DB00149	P54687
944	DB00149	O60294
945	DB00149	Q9UIC8
946	DB00149	Q9P2J5
947	DB00150	Q9UGM6
948	DB00150	P23381
949	DB00150	P41180
950	DB00150	Q6DWJ6
951	DB00151	P48507
952	DB00151	P48506
953	DB00151	P17174
954	DB00151	P32929
955	DB00151	P35520
956	DB00151	P49589
957	DB00151	P16455
958	DB00151	P48637
959	DB00151	Q9BZV2
960	DB00151	Q9HA77
961	DB00151	Q9Y600
962	DB00151	Q9Y697
963	DB00151	Q16878
964	DB00151	Q9UPY5
965	DB00152	Q9H3S4
966	DB00152	O60779
967	DB00152	P07900
968	DB00152	P51854
969	DB00152	Q9BU02
970	DB00152	P29401
971	DB00153	P11473
972	DB00153	Q06432
973	DB00153	P54289
974	DB00153	Q9NY47
975	DB00153	Q8IZS8
976	DB00153	Q13936
977	DB00153	Q01668
978	DB00153	O60840
979	DB00153	Q13698
980	DB00153	Q02641
981	DB00153	Q08289
982	DB00153	P54284
983	DB00153	O00305
984	DB00153	Q00975
985	DB00153	O00555
986	DB00153	O43497
987	DB00153	O95180
988	DB00153	Q9P0X4
989	DB00153	Q6VVX0
990	DB00153	O15528
991	DB00154	P23219
992	DB00154	P35354
993	DB00155	P00966
994	DB00155	O95865
995	DB00155	Q5T6L4
996	DB00155	O94760
997	DB00155	P00480
998	DB00155	P29475
999	DB00155	P35228
1000	DB00155	P29474
1001	DB00155	Q6TGC4
1002	DB00155	Q9ULC6
1003	DB00155	Q9ULW8
1004	DB00155	Q9Y2J8
1005	DB00155	Q9UM07
1006	DB00156	Q8IYQ7
1007	DB00156	P26639
1008	DB00156	Q9BW92
1009	DB00157	O60701
1010	DB00157	P07327
1011	DB00157	Q00796
1012	DB00157	P08319
1013	DB00157	P00326
1014	DB00157	P00325
1015	DB00157	P40394
1016	DB00157	P21695
1017	DB00157	Q6ZMR3
1018	DB00157	P11766
1019	DB00157	P15121
1020	DB00157	Q99714
1021	DB00157	P40926
1022	DB00157	P00338
1023	DB00157	P23368
1024	DB00157	P51659
1025	DB00157	Q9BYZ2
1026	DB00157	P07864
1027	DB00157	P07195
1028	DB00157	Q08426
1029	DB00157	Q16836
1030	DB00157	Q16798
1031	DB00157	Q02338
1032	DB00157	P40925
1033	DB00157	P31937
1034	DB00157	P37058
1035	DB00157	P04035
1036	DB00157	P48163
1037	DB00157	O43175
1038	DB00157	P56937
1039	DB00157	P51553
1040	DB00157	O43837
1041	DB00157	P50213
1042	DB00157	P14061
1043	DB00157	P37059
1044	DB00157	Q92781
1045	DB00157	O95479
1046	DB00157	Q92506
1047	DB00157	P17516
1048	DB00157	P12268
1049	DB00157	P42330
1050	DB00157	P15428
1051	DB00157	Q13630
1052	DB00157	Q04828
1053	DB00157	P28845
1054	DB00157	P26439
1055	DB00157	P14060
1056	DB00157	P20839
1057	DB00157	P40939
1058	DB00157	P05091
1059	DB00157	P80365
1060	DB00157	P52895
1061	DB00157	Q15738
1062	DB00157	P48448
1063	DB00157	Q02252
1064	DB00157	P30838
1065	DB00157	P00352
1066	DB00157	O14556
1067	DB00157	P49189
1068	DB00157	P47895
1069	DB00157	P30837
1070	DB00157	P43353
1071	DB00157	P04406
1072	DB00157	O94788
1073	DB00157	P51648
1074	DB00157	P51649
1075	DB00157	P49419
1076	DB00157	P30043
1077	DB00157	Q96C36
1078	DB00157	P32322
1079	DB00157	P00367
1080	DB00157	P11177
1081	DB00157	P29803
1082	DB00157	P08559
1083	DB00157	P53004
1084	DB00157	P16219
1085	DB00157	P00374
1086	DB00157	Q02218
1087	DB00157	P49448
1088	DB00157	Q9UBM7
1089	DB00157	P16083
1090	DB00157	P03891
1091	DB00157	Q9UDR5
1092	DB00157	P03897
1093	DB00157	O75251
1094	DB00157	P11586
1095	DB00157	P13995
1096	DB00157	P30038
1097	DB00157	P00387
1098	DB00157	Q86Y39
1099	DB00157	P03905
1100	DB00157	P09417
1101	DB00157	P03886
1102	DB00157	Q13423
1103	DB00157	Q16718
1104	DB00157	Q16795
1105	DB00157	P03901
1106	DB00157	O95299
1107	DB00157	O95182
1108	DB00157	O15239
1109	DB00157	P03923
1110	DB00157	P03915
1111	DB00157	O00483
1112	DB00157	P56556
1113	DB00157	O14561
1114	DB00157	O43678
1115	DB00157	P51970
1116	DB00157	O95167
1117	DB00157	O95169
1118	DB00157	O95298
1119	DB00157	O75438
1120	DB00157	P28331
1121	DB00157	O96000
1122	DB00157	O95168
1123	DB00157	O43676
1124	DB00157	O95178
1125	DB00157	P17568
1126	DB00157	Q9Y6M9
1127	DB00157	O75306
1128	DB00157	O43674
1129	DB00157	O43677
1130	DB00157	O95139
1131	DB00157	P56181
1132	DB00157	P09622
1133	DB00157	O75489
1134	DB00157	P00390
1135	DB00157	Q9UI09
1136	DB00157	O43920
1137	DB00157	O43181
1138	DB00157	P49821
1139	DB00157	P19404
1140	DB00157	Q9P0J0
1141	DB00157	Q16878
1142	DB00157	O75380
1143	DB00157	Q9NRX3
1144	DB00157	O00217
1145	DB00157	Q02928
1146	DB00157	P10515
1147	DB00157	P48728
1148	DB00157	Q15800
1149	DB00157	P09601
1150	DB00157	P30519
1151	DB00157	P05093
1152	DB00157	P14679
1153	DB00158	P41439
1154	DB00158	P14207
1155	DB00158	P15328
1156	DB00158	P04818
1157	DB00159	P35354
1158	DB00159	P23219
1159	DB00159	P37231
1160	DB00159	Q03181
1161	DB00159	O60427
1162	DB00159	O60488
1163	DB00159	O95573
1164	DB00159	O14842
1165	DB00159	P32418
1166	DB00159	Q8NER1
1167	DB00159	Q07869
1168	DB00159	Q8TDS5
1169	DB00159	P11511
1170	DB00159	P13726
1171	DB00159	O75907
1172	DB00160	P21549
1173	DB00160	P80404
1174	DB00160	Q16719
1175	DB00160	Q5JTZ9
